Model Name              , Validation Loss    , Validation Accuracy, Full Sequence Accuracy, Best Sequence Accuracy, Best Epoch, Training Time (s) , Parameters
Baseline CNN            , 1.0462552309036255 ,  0.7131051421165466,     0.1206597238779068,     0.1232638880610466,         44, 349.56490087509155,    6254339
With Data Augmentation  , 1.0030946731567383 ,  0.736127495765686 ,     0.0911458358168602,     0.1076388880610466,         46, 358.9041962623596 ,    6254339
With Batch Normalization, 0.66350919008255   ,  0.8512396812438965,     0.44921875        ,     0.4522569477558136,         50, 684.3904271125793 ,    6256259
Double Conv Layers      , 0.47727155685424805,  0.9149941205978394,     0.6497395634651184,     0.6558159589767456,         50, 931.4940946102142 ,    6450019
With Residual Connection, 0.5501701235771179 ,  0.8719009160995483,     0.4813368022441864,     0.5147569179534912,         46, 937.224235534668  ,    6458339
Enhanced Augmentation   , 0.1976943165063858 ,  0.9468713402748108,     0.7239583134651184,     0.7595486044883728,         47, 841.6809198856354 ,    6458339
