Model Name              , Learning Rate, Batch Size, Epochs, Validation Loss    , Validation Accuracy , Full Sequence Accuracy, Best Sequence Accuracy, Best Epoch, Training Time (s) , Parameters
Enhanced Augmentation   ,        0.001 ,         16,     50, 0.28743690252304077, 0.9238489270210266  ,     0.6796875         ,     0.6796875         ,         50, 544.1234300136566 ,    6458339
Enhanced Augmentation   ,        0.001 ,         32,     30, 0.31323710083961487, 0.9332939982414246  ,     0.6762152910232544,     0.6792534589767456,         30, 299.8691318035126 ,    6458339
Enhanced Augmentation   ,        0.001 ,         32,     50, 0.2490292340517044 , 0.9368358850479126  ,     0.7044270634651184,     0.7044270634651184,         47, 502.59639286994934,    6458339
Complete Model          ,        0.0001,         16,     30, 3.6290972232818604 , 0.0897284597158432  ,     0.0               ,     0.0               ,          1, 166.7937982082367 ,   14731235
Complete Model          ,        0.0001,         16,     50, 3.730022430419922  , 0.028925620019435883,     0.0               ,     0.0               ,          1, 167.51556658744812,   14731235
Complete Model          ,        0.0001,         32,     30, 3.598046064376831  , 0.08795750141143799 ,     0.0               ,     0.0               ,          1, 139.7627911567688 ,   14731235
Complete Model          ,        0.0001,         32,     50, 3.6201882362365723 , 0.03305785357952118 ,     0.0               ,     0.0               ,          1, 138.50454831123352,   14731235
Complete Model          ,        0.0005,         16,     30, 3.834804058074951  , 0.043093275278806686,     0.0               ,     0.0               ,          1, 166.89202857017517,   14731235
Complete Model          ,        0.0005,         16,     50, 3.9108684062957764 , 0.030696578323841095,     0.0               ,     0.0               ,          1, 167.26222610473633,   14731235
Complete Model          ,        0.0005,         32,     30, 1.118501901626587  , 0.7544273734092712  ,     0.1488715261220932,     0.1397569477558136,         29, 376.2098231315613 ,   14731235
Complete Model          ,        0.0005,         32,     50, 4.375704288482666  , 0.030106257647275925,     0.0               ,     0.0               ,          1, 137.85051918029785,   14731235
Complete Model          ,        0.001 ,         16,     30, 4.049243927001953  , 0.11924438923597336 ,     0.0               ,     0.0               ,          1, 166.93450903892517,   14731235
Complete Model          ,        0.001 ,         16,     50, 3.7118825912475586 , 0.046635180711746216,     0.0               ,     0.0               ,          1, 167.1958086490631 ,   14731235
Complete Model          ,        0.001 ,         32,     30, 4.2885212898254395 , 0.037780407816171646,     0.0               ,     0.0               ,          1, 137.88346982002258,   14731235
Complete Model          ,        0.001 ,         32,     50, 4.292433738708496  , 0.037780407816171646,     0.0               ,     0.0               ,          1, 139.51057934761047,   14731235
