Model Name              , Validation Loss   , Validation Accuracy, Full Sequence Accuracy, Best Sequence Accuracy, Best Epoch, Training Time (s) , Parameters
Baseline CNN            , 1.370672345161438 ,  0.6340024471282959,     0.046875          ,     0.05859375        ,         29, 108.86663746833801,    6254339
With Data Augmentation  , 1.11677086353302  ,  0.7166469693183899,     0.0959201380610466,     0.1046006977558136,         29, 109.5548107624054 ,    6254339
With Batch Normalization, 0.648921549320221 ,  0.8447462320327759,     0.3628472089767456,     0.4205729067325592,         27, 220.4712314605713 ,    6256259
Double Conv Layers      , 0.5366553068161011,  0.878394365310669 ,     0.5164930820465088,     0.546875          ,         24, 288.0051076412201 ,    6450019
With Residual Connection, 0.7957906723022461,  0.8211334347724915,     0.3602430522441864,     0.3684895932674408,         27, 296.0609176158905 ,    6458339
Enhanced Augmentation   , 0.5184805393218994,  0.9037780165672302,     0.55859375        ,     0.5794270634651184,         28, 296.5817928314209 ,    6458339
Complete Model          , 0.6530960202217102,  0.8152303099632263,     0.2543402910232544,     0.3229166567325592,         29, 374.4569127559662 ,   14731235
