Model Name              , Validation Loss   , Validation Accuracy, Full Sequence Accuracy, Best Sequence Accuracy, Best Epoch, Training Time (s) , Parameters
Baseline CNN            , 1.123422384262085 ,  0.6977567672729492,     0.078125          ,     0.08984375        ,         48, 182.88042330741882,    6254339
With Data Augmentation  , 1.0056605339050293,  0.7349469065666199,     0.1605902761220932,     0.1723090261220932,         46, 181.04501104354858,    6254339
With Batch Normalization, 0.5151240825653076,  0.8795750141143799,     0.5030381679534912,     0.515625          ,         39, 364.8958959579468 ,    6256259
Double Conv Layers      , 0.3847538232803345,  0.9179457426071167,     0.6349826455116272,     0.6675347089767456,         47, 483.20051288604736,    6450019
With Residual Connection, 0.3822973370552063,  0.9108619093894958,     0.60546875        ,     0.6206597089767456,         46, 491.12721395492554,    6458339
Enhanced Augmentation   , 0.3335513770580292,  0.920306921005249 ,     0.6519097089767456,     0.6692708134651184,         46, 494.7824065685272 ,    6458339
