Confidence,Success_Rate,Avg_Iterations,Original_Accuracy,Adversarial_Accuracy,Accuracy_Reduction,Original_Loss,Adversarial_Loss,Loss_Increase
0.7,0.9512195121951219,30.94871794871795,1.0,0.048780486,0.9512195,0.030511338,2.961301,2.9307897
0.8,0.975609756097561,54.4,1.0,0.024390243,0.9756098,0.030511338,3.5872054,3.556694
0.9,1.0,86.70731707317073,1.0,0.0,1.0,0.030511338,4.580458,4.549947
0.95,1.0,96.04878048780488,1.0,0.0,1.0,0.030511338,5.027711,4.9971995
