model,attack_method,attack_parameter,total_examples,correct_predictions,success_rate,total_chars,correct_chars,char_accuracy
best_enhanced_augmentation,ifgs,0.9,40,1,0.025,263,93,0.35361216730038025
best_enhanced_augmentation,smooth_fgsm,sigma=0.5_epsilon=1.0,40,28,0.7,262,239,0.9122137404580153
best_enhanced_augmentation,smooth_fgsm,sigma=0.5_epsilon=2.0,41,3,0.07317073170731707,260,90,0.34615384615384615
best_enhanced_augmentation,smooth_fgsm,sigma=1.0_epsilon=2.0,44,0,0.0,286,103,0.36013986013986016
best_enhanced_augmentation,smooth_fgsm,sigma=1.5_epsilon=2.0,39,5,0.1282051282051282,251,128,0.5099601593625498
best_enhanced_augmentation,smooth_fgsm,sigma=2.0_epsilon=2.0,36,6,0.16666666666666666,235,106,0.451063829787234
best_robust_model,bim,0.1,37,29,0.7837837837837838,242,234,0.9669421487603306
best_robust_model,bim,0.2,35,18,0.5142857142857142,227,208,0.9162995594713657
best_robust_model,bim,0.5,38,0,0.0,245,146,0.5959183673469388
best_robust_model,fgsm,1,42,35,0.8333333333333334,280,271,0.9678571428571429
best_robust_model,fgsm,2,37,34,0.918918918918919,242,239,0.987603305785124
best_robust_model,fgsm,3,38,23,0.6052631578947368,244,228,0.9344262295081968
best_robust_model,gaussian,0.1,41,35,0.8536585365853658,265,258,0.9735849056603774
best_robust_model,gaussian,0.2,37,12,0.32432432432432434,242,201,0.8305785123966942
best_robust_model,gaussian,0.25,41,8,0.1951219512195122,268,198,0.7388059701492538
best_robust_model,ifgs,0.7,43,26,0.6046511627906976,277,260,0.9386281588447654
best_robust_model,ifgs,0.8,40,20,0.5,263,240,0.9125475285171103
best_robust_model,ifgs,0.9,40,17,0.425,263,228,0.8669201520912547
best_robust_model,smooth_fgsm,sigma=0.5_epsilon=1.0,40,33,0.825,262,255,0.9732824427480916
best_robust_model,smooth_fgsm,sigma=0.5_epsilon=2.0,41,32,0.7804878048780488,260,250,0.9615384615384616
best_robust_model,smooth_fgsm,sigma=1.0_epsilon=2.0,44,36,0.8181818181818182,286,278,0.972027972027972
best_robust_model,smooth_fgsm,sigma=1.5_epsilon=2.0,39,32,0.8205128205128205,251,243,0.9681274900398407
best_robust_model,smooth_fgsm,sigma=2.0_epsilon=2.0,36,30,0.8333333333333334,235,228,0.9702127659574468
best_robust_model2,bim,0.1,37,26,0.7027027027027027,242,230,0.9504132231404959
best_robust_model2,bim,0.2,35,24,0.6857142857142857,227,213,0.9383259911894273
best_robust_model2,bim,0.5,38,2,0.05263157894736842,245,173,0.7061224489795919
best_robust_model2,fgsm,1,42,37,0.8809523809523809,280,274,0.9785714285714285
best_robust_model2,fgsm,2,37,32,0.8648648648648649,242,237,0.9793388429752066
best_robust_model2,fgsm,3,38,29,0.7631578947368421,244,233,0.9549180327868853
best_robust_model2,gaussian,0.1,41,31,0.7560975609756098,265,255,0.9622641509433962
best_robust_model2,gaussian,0.2,37,12,0.32432432432432434,242,208,0.859504132231405
best_robust_model2,gaussian,0.25,41,12,0.2926829268292683,268,225,0.8395522388059702
best_robust_model2,ifgs,0.7,43,27,0.627906976744186,277,258,0.9314079422382672
best_robust_model2,ifgs,0.8,40,22,0.55,263,240,0.9125475285171103
best_robust_model2,ifgs,0.9,40,15,0.375,263,228,0.8669201520912547
best_robust_model2,smooth_fgsm,sigma=0.5_epsilon=1.0,40,36,0.9,262,258,0.9847328244274809
best_robust_model2,smooth_fgsm,sigma=0.5_epsilon=2.0,41,32,0.7804878048780488,260,250,0.9615384615384616
best_robust_model2,smooth_fgsm,sigma=1.0_epsilon=2.0,44,39,0.8863636363636364,286,281,0.9825174825174825
best_robust_model2,smooth_fgsm,sigma=1.5_epsilon=2.0,39,30,0.7692307692307693,251,242,0.9641434262948207
best_robust_model2,smooth_fgsm,sigma=2.0_epsilon=2.0,36,28,0.7777777777777778,235,225,0.9574468085106383
best_robust_augmented_model,bim,0.1,37,33,0.8918918918918919,242,238,0.9834710743801653
best_robust_augmented_model,bim,0.2,35,25,0.7142857142857143,227,211,0.9295154185022027
best_robust_augmented_model,bim,0.5,38,0,0.0,245,116,0.47346938775510206
best_robust_augmented_model,fgsm,1,42,35,0.8333333333333334,280,271,0.9678571428571429
best_robust_augmented_model,fgsm,2,37,30,0.8108108108108109,242,234,0.9669421487603306
best_robust_augmented_model,fgsm,3,38,21,0.5526315789473685,244,222,0.9098360655737705
best_robust_augmented_model,gaussian,0.1,41,36,0.8780487804878049,265,259,0.9773584905660377
best_robust_augmented_model,gaussian,0.2,37,9,0.24324324324324326,242,195,0.8057851239669421
best_robust_augmented_model,gaussian,0.25,41,4,0.0975609756097561,268,180,0.6716417910447762
best_robust_augmented_model,ifgs,0.7,43,30,0.6976744186046512,277,262,0.9458483754512635
best_robust_augmented_model,ifgs,0.8,40,22,0.55,263,236,0.8973384030418251
best_robust_augmented_model,ifgs,0.9,40,20,0.5,263,229,0.870722433460076
best_robust_augmented_model,smooth_fgsm,sigma=0.5_epsilon=1.0,40,36,0.9,262,258,0.9847328244274809
best_robust_augmented_model,smooth_fgsm,sigma=0.5_epsilon=2.0,41,36,0.8780487804878049,260,255,0.9807692307692307
best_robust_augmented_model,smooth_fgsm,sigma=1.0_epsilon=2.0,44,37,0.8409090909090909,286,279,0.9755244755244755
best_robust_augmented_model,smooth_fgsm,sigma=1.5_epsilon=2.0,39,32,0.8205128205128205,251,244,0.9721115537848606
best_robust_augmented_model,smooth_fgsm,sigma=2.0_epsilon=2.0,36,31,0.8611111111111112,235,230,0.9787234042553191
best_robust_augmented_model2,bim,0.1,37,19,0.5135135135135135,242,222,0.9173553719008265
best_robust_augmented_model2,bim,0.2,35,14,0.4,227,200,0.8810572687224669
best_robust_augmented_model2,bim,0.5,38,0,0.0,245,143,0.5836734693877551
best_robust_augmented_model2,fgsm,1,42,24,0.5714285714285714,280,254,0.9071428571428571
best_robust_augmented_model2,fgsm,2,37,20,0.5405405405405406,242,222,0.9173553719008265
best_robust_augmented_model2,fgsm,3,38,17,0.4473684210526316,244,217,0.889344262295082
best_robust_augmented_model2,gaussian,0.1,41,22,0.5365853658536586,265,241,0.909433962264151
best_robust_augmented_model2,gaussian,0.2,37,9,0.24324324324324326,242,200,0.8264462809917356
best_robust_augmented_model2,gaussian,0.25,41,3,0.07317073170731707,268,180,0.6716417910447762
best_robust_augmented_model2,ifgs,0.7,43,17,0.3953488372093023,277,242,0.8736462093862816
best_robust_augmented_model2,ifgs,0.8,40,15,0.375,263,230,0.8745247148288974
best_robust_augmented_model2,ifgs,0.9,40,11,0.275,263,219,0.8326996197718631
best_robust_augmented_model2,smooth_fgsm,sigma=0.5_epsilon=1.0,40,29,0.725,262,248,0.9465648854961832
best_robust_augmented_model2,smooth_fgsm,sigma=0.5_epsilon=2.0,41,23,0.5609756097560976,260,238,0.9153846153846154
best_robust_augmented_model2,smooth_fgsm,sigma=1.0_epsilon=2.0,44,23,0.5227272727272727,286,263,0.9195804195804196
best_robust_augmented_model2,smooth_fgsm,sigma=1.5_epsilon=2.0,39,28,0.717948717948718,251,239,0.952191235059761
best_robust_augmented_model2,smooth_fgsm,sigma=2.0_epsilon=2.0,36,20,0.5555555555555556,235,217,0.9234042553191489
