model,attack_method,attack_parameter,total_examples,correct_predictions,success_rate,total_chars,correct_chars,char_accuracy
best_double_conv_layers_model,bim,0.1,37,0,0.0,242,71,0.29338842975206614
best_double_conv_layers_model,bim,0.2,35,0,0.0,227,9,0.039647577092511016
best_double_conv_layers_model,bim,0.5,38,0,0.0,245,6,0.024489795918367346
best_double_conv_layers_model,fgsm,1,42,26,0.6190476190476191,280,263,0.9392857142857143
best_double_conv_layers_model,fgsm,2,37,17,0.4594594594594595,242,208,0.859504132231405
best_double_conv_layers_model,fgsm,3,38,10,0.2631578947368421,244,160,0.6557377049180327
best_double_conv_layers_model,gaussian,0.1,41,29,0.7073170731707317,265,252,0.9509433962264151
best_double_conv_layers_model,gaussian,0.2,37,0,0.0,242,30,0.12396694214876033
best_double_conv_layers_model,gaussian,0.25,41,0,0.0,268,16,0.05970149253731343
best_double_conv_layers_model,ifgs,0.7,43,0,0.0,277,50,0.18050541516245489
best_double_conv_layers_model,ifgs,0.8,40,0,0.0,263,34,0.12927756653992395
best_double_conv_layers_model,ifgs,0.9,40,0,0.0,263,25,0.09505703422053231
best_double_conv_layers_model,smooth_fgsm,sigma=0.5_epsilon=1.0,40,27,0.675,262,247,0.9427480916030534
best_double_conv_layers_model,smooth_fgsm,sigma=0.5_epsilon=2.0,41,13,0.3170731707317073,260,187,0.7192307692307692
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=2.0,44,8,0.18181818181818182,286,191,0.6678321678321678
best_double_conv_layers_model,smooth_fgsm,sigma=1.5_epsilon=2.0,39,16,0.41025641025641024,251,198,0.7888446215139442
best_double_conv_layers_model,smooth_fgsm,sigma=2.0_epsilon=2.0,36,18,0.5,235,181,0.7702127659574468
best_with_residual_connection,bim,0.1,37,12,0.32432432432432434,242,213,0.8801652892561983
best_with_residual_connection,bim,0.2,35,0,0.0,227,51,0.22466960352422907
best_with_residual_connection,bim,0.5,38,0,0.0,245,5,0.02040816326530612
best_with_residual_connection,fgsm,1,42,38,0.9047619047619048,280,274,0.9785714285714285
best_with_residual_connection,fgsm,2,37,16,0.43243243243243246,242,205,0.8471074380165289
best_with_residual_connection,fgsm,3,38,0,0.0,244,50,0.20491803278688525
best_with_residual_connection,gaussian,0.1,41,3,0.07317073170731707,265,166,0.6264150943396226
best_with_residual_connection,gaussian,0.2,37,0,0.0,242,6,0.024793388429752067
best_with_residual_connection,gaussian,0.25,41,0,0.0,268,5,0.018656716417910446
best_with_residual_connection,ifgs,0.7,43,23,0.5348837209302325,277,238,0.8592057761732852
best_with_residual_connection,ifgs,0.8,40,11,0.275,263,204,0.7756653992395437
best_with_residual_connection,ifgs,0.9,40,7,0.175,263,179,0.6806083650190115
best_with_residual_connection,smooth_fgsm,sigma=0.5_epsilon=1.0,40,36,0.9,262,256,0.9770992366412213
best_with_residual_connection,smooth_fgsm,sigma=0.5_epsilon=2.0,41,13,0.3170731707317073,260,199,0.7653846153846153
best_with_residual_connection,smooth_fgsm,sigma=1.0_epsilon=2.0,44,17,0.38636363636363635,286,243,0.8496503496503497
best_with_residual_connection,smooth_fgsm,sigma=1.5_epsilon=2.0,39,24,0.6153846153846154,251,221,0.8804780876494024
best_with_residual_connection,smooth_fgsm,sigma=2.0_epsilon=2.0,36,22,0.6111111111111112,235,213,0.9063829787234042
best_enhanced_augmentation,bim,0.1,37,6,0.16216216216216217,242,145,0.5991735537190083
best_enhanced_augmentation,bim,0.2,35,0,0.0,227,31,0.13656387665198239
best_enhanced_augmentation,bim,0.5,38,0,0.0,245,4,0.0163265306122449
best_enhanced_augmentation,fgsm,1,42,26,0.6190476190476191,280,256,0.9142857142857143
best_enhanced_augmentation,fgsm,2,37,1,0.02702702702702703,242,97,0.40082644628099173
best_enhanced_augmentation,fgsm,3,38,0,0.0,244,19,0.0778688524590164
best_enhanced_augmentation,gaussian,0.1,41,0,0.0,265,26,0.09811320754716982
best_enhanced_augmentation,gaussian,0.2,37,0,0.0,242,11,0.045454545454545456
best_enhanced_augmentation,gaussian,0.25,41,0,0.0,268,10,0.03731343283582089
best_enhanced_augmentation,ifgs,0.7,43,6,0.13953488372093023,277,160,0.5776173285198556
best_enhanced_augmentation,ifgs,0.8,40,1,0.025,263,132,0.5019011406844106
