model,attack_method,attack_parameter,total_examples,correct_predictions,success_rate,total_chars,correct_chars,char_accuracy
best_double_conv_layers_model,bim,0.01,42,24,0.5714285714285714,271,250,0.922509225092251
best_double_conv_layers_model,bim,0.05,39,0,0.0,260,190,0.7307692307692307
best_double_conv_layers_model,bim,0.1,39,0,0.0,256,92,0.359375
best_double_conv_layers_model,fgsm,0.1,40,38,0.95,260,258,0.9923076923076923
best_double_conv_layers_model,fgsm,0.5,44,37,0.8409090909090909,282,274,0.9716312056737588
best_double_conv_layers_model,fgsm,1.0,40,26,0.65,266,247,0.9285714285714286
best_double_conv_layers_model,fgsm,2.0,37,14,0.3783783783783784,243,194,0.7983539094650206
best_double_conv_layers_model,gaussian,0.1,36,25,0.6944444444444444,237,226,0.9535864978902954
best_double_conv_layers_model,gaussian,0.2,34,0,0.0,224,26,0.11607142857142858
best_double_conv_layers_model,gaussian,0.3,37,0,0.0,241,16,0.06639004149377593
best_double_conv_layers_model,gaussian,0.4,42,0,0.0,274,7,0.025547445255474453
best_double_conv_layers_model,ifgs,0.7,40,0,0.0,265,41,0.15471698113207547
best_double_conv_layers_model,ifgs,0.8,42,0,0.0,271,34,0.12546125461254612
best_double_conv_layers_model,ifgs,0.9,39,0,0.0,256,24,0.09375
best_double_conv_layers_model,smooth_fgsm,sigma=0.5_epsilon=0.5,38,33,0.868421052631579,248,244,0.9838709677419355
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=1.0,41,31,0.7560975609756098,271,258,0.9520295202952029
best_double_conv_layers_model,smooth_fgsm,sigma=1.5_epsilon=1.0,38,34,0.8947368421052632,249,244,0.9799196787148594
best_double_conv_layers_model,smooth_fgsm,sigma=1.0_epsilon=1.5,39,18,0.46153846153846156,255,211,0.8274509803921568
best_with_residual_connection,bim,0.01,42,35,0.8333333333333334,271,264,0.974169741697417
best_with_residual_connection,bim,0.05,39,31,0.7948717948717948,260,251,0.9653846153846154
best_with_residual_connection,bim,0.1,39,14,0.358974358974359,256,222,0.8671875
best_with_residual_connection,fgsm,0.1,40,32,0.8,260,252,0.9692307692307692
best_with_residual_connection,fgsm,0.5,44,39,0.8863636363636364,282,276,0.9787234042553191
best_with_residual_connection,fgsm,1.0,40,32,0.8,266,257,0.9661654135338346
best_with_residual_connection,fgsm,2.0,37,14,0.3783783783783784,243,192,0.7901234567901234
best_with_residual_connection,gaussian,0.1,36,1,0.027777777777777776,237,138,0.5822784810126582
best_with_residual_connection,gaussian,0.2,34,0,0.0,224,11,0.049107142857142856
best_with_residual_connection,gaussian,0.3,37,0,0.0,241,9,0.03734439834024896
best_with_residual_connection,gaussian,0.4,42,0,0.0,274,7,0.025547445255474453
best_with_residual_connection,ifgs,0.7,40,18,0.45,265,218,0.8226415094339623
best_with_residual_connection,ifgs,0.8,42,17,0.40476190476190477,271,223,0.8228782287822878
best_with_residual_connection,ifgs,0.9,39,5,0.1282051282051282,256,172,0.671875
best_with_residual_connection,smooth_fgsm,sigma=0.5_epsilon=0.5,38,34,0.8947368421052632,248,244,0.9838709677419355
best_with_residual_connection,smooth_fgsm,sigma=1.0_epsilon=1.0,41,35,0.8536585365853658,271,265,0.977859778597786
best_with_residual_connection,smooth_fgsm,sigma=1.5_epsilon=1.0,38,30,0.7894736842105263,249,239,0.9598393574297188
best_with_residual_connection,smooth_fgsm,sigma=1.0_epsilon=1.5,39,29,0.7435897435897436,255,239,0.9372549019607843
best_enhanced_augmentation,bim,0.01,42,36,0.8571428571428571,271,262,0.966789667896679
best_enhanced_augmentation,bim,0.05,39,25,0.6410256410256411,260,246,0.9461538461538461
best_enhanced_augmentation,bim,0.1,39,4,0.10256410256410256,256,148,0.578125
best_enhanced_augmentation,fgsm,0.1,40,32,0.8,260,251,0.9653846153846154
best_enhanced_augmentation,fgsm,0.5,44,36,0.8181818181818182,282,271,0.9609929078014184
best_enhanced_augmentation,fgsm,1.0,40,26,0.65,266,246,0.924812030075188
best_enhanced_augmentation,fgsm,2.0,37,0,0.0,243,88,0.36213991769547327
best_enhanced_augmentation,gaussian,0.1,36,0,0.0,237,21,0.08860759493670886
best_enhanced_augmentation,gaussian,0.2,34,0,0.0,224,12,0.05357142857142857
best_enhanced_augmentation,gaussian,0.3,37,0,0.0,241,12,0.04979253112033195
best_enhanced_augmentation,gaussian,0.4,42,0,0.0,274,8,0.029197080291970802
best_enhanced_augmentation,ifgs,0.7,40,9,0.225,265,166,0.6264150943396226
best_enhanced_augmentation,ifgs,0.8,42,1,0.023809523809523808,271,150,0.5535055350553506
best_enhanced_augmentation,ifgs,0.9,39,0,0.0,256,94,0.3671875
best_enhanced_augmentation,smooth_fgsm,sigma=0.5_epsilon=0.5,38,31,0.8157894736842105,248,239,0.9637096774193549
best_enhanced_augmentation,smooth_fgsm,sigma=1.0_epsilon=1.0,41,26,0.6341463414634146,271,240,0.8856088560885609
best_enhanced_augmentation,smooth_fgsm,sigma=1.5_epsilon=1.0,38,25,0.6578947368421053,249,230,0.9236947791164659
best_enhanced_augmentation,smooth_fgsm,sigma=1.0_epsilon=1.5,39,14,0.358974358974359,255,172,0.6745098039215687
best_robust_model,bim,0.01,42,35,0.8333333333333334,271,263,0.9704797047970479
best_robust_model,bim,0.05,39,32,0.8205128205128205,260,253,0.9730769230769231
best_robust_model,bim,0.1,39,29,0.7435897435897436,256,246,0.9609375
best_robust_model,fgsm,0.1,40,34,0.85,260,254,0.9769230769230769
best_robust_model,fgsm,0.5,44,41,0.9318181818181818,282,277,0.9822695035460993
best_robust_model,fgsm,1.0,40,37,0.925,266,261,0.981203007518797
best_robust_model,fgsm,2.0,37,31,0.8378378378378378,243,234,0.9629629629629629
best_robust_model,gaussian,0.1,36,28,0.7777777777777778,237,227,0.9578059071729957
best_robust_model,gaussian,0.2,34,14,0.4117647058823529,224,197,0.8794642857142857
best_robust_model,gaussian,0.3,37,2,0.05405405405405406,241,149,0.6182572614107884
best_robust_model,gaussian,0.4,42,0,0.0,274,110,0.40145985401459855
best_robust_model,ifgs,0.7,40,24,0.6,265,246,0.9283018867924528
best_robust_model,ifgs,0.8,42,23,0.5476190476190477,271,246,0.9077490774907749
best_robust_model,ifgs,0.9,39,17,0.4358974358974359,256,226,0.8828125
best_robust_model,smooth_fgsm,sigma=0.5_epsilon=0.5,38,33,0.868421052631579,248,243,0.9798387096774194
best_robust_model,smooth_fgsm,sigma=1.0_epsilon=1.0,41,38,0.926829268292683,271,266,0.981549815498155
best_robust_model,smooth_fgsm,sigma=1.5_epsilon=1.0,38,27,0.7105263157894737,249,235,0.9437751004016064
best_robust_model,smooth_fgsm,sigma=1.0_epsilon=1.5,39,35,0.8974358974358975,255,250,0.9803921568627451
best_robust_model2,bim,0.01,42,33,0.7857142857142857,271,260,0.959409594095941
best_robust_model2,bim,0.05,39,32,0.8205128205128205,260,253,0.9730769230769231
best_robust_model2,bim,0.1,39,29,0.7435897435897436,256,244,0.953125
best_robust_model2,fgsm,0.1,40,32,0.8,260,252,0.9692307692307692
best_robust_model2,fgsm,0.5,44,40,0.9090909090909091,282,277,0.9822695035460993
best_robust_model2,fgsm,1.0,40,34,0.85,266,260,0.9774436090225563
best_robust_model2,fgsm,2.0,37,27,0.7297297297297297,243,230,0.9465020576131687
best_robust_model2,gaussian,0.1,36,29,0.8055555555555556,237,229,0.9662447257383966
best_robust_model2,gaussian,0.2,34,12,0.35294117647058826,224,195,0.8705357142857143
best_robust_model2,gaussian,0.3,37,0,0.0,241,129,0.5352697095435685
best_robust_model2,gaussian,0.4,42,0,0.0,274,76,0.2773722627737226
best_robust_model2,ifgs,0.7,40,21,0.525,265,237,0.8943396226415095
best_robust_model2,ifgs,0.8,42,22,0.5238095238095238,271,244,0.9003690036900369
best_robust_model2,ifgs,0.9,39,13,0.3333333333333333,256,207,0.80859375
best_robust_model2,smooth_fgsm,sigma=0.5_epsilon=0.5,38,32,0.8421052631578947,248,242,0.9758064516129032
best_robust_model2,smooth_fgsm,sigma=1.0_epsilon=1.0,41,36,0.8780487804878049,271,265,0.977859778597786
best_robust_model2,smooth_fgsm,sigma=1.5_epsilon=1.0,38,27,0.7105263157894737,249,237,0.9518072289156626
best_robust_model2,smooth_fgsm,sigma=1.0_epsilon=1.5,39,28,0.717948717948718,255,242,0.9490196078431372
best_robust_augmented_model,bim,0.01,42,34,0.8095238095238095,271,261,0.9630996309963099
best_robust_augmented_model,bim,0.05,39,30,0.7692307692307693,260,251,0.9653846153846154
best_robust_augmented_model,bim,0.1,39,32,0.8205128205128205,256,248,0.96875
best_robust_augmented_model,fgsm,0.1,40,33,0.825,260,252,0.9692307692307692
best_robust_augmented_model,fgsm,0.5,44,40,0.9090909090909091,282,276,0.9787234042553191
best_robust_augmented_model,fgsm,1.0,40,35,0.875,266,260,0.9774436090225563
best_robust_augmented_model,fgsm,2.0,37,33,0.8918918918918919,243,238,0.9794238683127572
best_robust_augmented_model,gaussian,0.1,36,29,0.8055555555555556,237,230,0.9704641350210971
best_robust_augmented_model,gaussian,0.2,34,17,0.5,224,199,0.8883928571428571
best_robust_augmented_model,gaussian,0.3,37,0,0.0,241,109,0.45228215767634855
best_robust_augmented_model,gaussian,0.4,42,0,0.0,274,40,0.145985401459854
best_robust_augmented_model,ifgs,0.7,40,26,0.65,265,248,0.9358490566037736
best_robust_augmented_model,ifgs,0.8,42,28,0.6666666666666666,271,255,0.940959409594096
best_robust_augmented_model,ifgs,0.9,39,19,0.48717948717948717,256,226,0.8828125
best_robust_augmented_model,smooth_fgsm,sigma=0.5_epsilon=0.5,38,30,0.7894736842105263,248,238,0.9596774193548387
best_robust_augmented_model,smooth_fgsm,sigma=1.0_epsilon=1.0,41,35,0.8536585365853658,271,265,0.977859778597786
best_robust_augmented_model,smooth_fgsm,sigma=1.5_epsilon=1.0,38,31,0.8157894736842105,249,240,0.963855421686747
best_robust_augmented_model,smooth_fgsm,sigma=1.0_epsilon=1.5,39,30,0.7692307692307693,255,246,0.9647058823529412
